id,Pedigree,Range,Row,Rep,DTA (DAS),DTS  (DAS),PHT (in),FHT (in),EHT (in),Yield (t/ha),YieldMoist (t/ha)
CS17-G2FE-056,NILASQ4G21I10S2/LH123HT,4,275,1,70,69,100,80,50,9.634647264,10.19442027
CS17-G2FE-057,NILASQ4G51I02S3/LH123HT,4,273,1,71,70,103,82,50,9.881093357,10.46605408
CS17-G2FE-058,NILASQ4G51I12S2/LH123HT,4,271,1,67,69,97,76,49,10.91802692,11.5600069
CS17-G2FE-059,NILASQ4G51I04S3/LH123HT,4,269,1,67,69,102,79,47,9.616047559,10.18243276
CS17-G2FE-060,NILASQ4G51I03S2/LH123HT,4,267,1,67,69,95,76,47,10.50418348,11.13653532
CS17-G2FE-061,NILASQ4G51I01S2/LH123HT,4,265,1,69,70,96,75,46,10.82967832,11.47187824
CS17-G2FE-062,NILASQ4G51I09S3/LH123HT,4,263,1,67,69,96,73,44,9.318452277,9.898060008
CS17-G2FE-063,2369/LH123HT,4,261,1,71,70,97,76,48,10.35538584,10.95806929
CS17-G2FE-064,NILASQ4G51I05S3/LH123HT,4,259,1,71,70,98,76,52,9.40215095,9.956877856
CS17-G2FE-065,2369/LH123HT,4,257,1,68,69,,76,50,10.11358967,10.69916651
CS17-G2FE-066,NILASQ4G51I06S2/LH123HT,4,255,1,70,69,94,74,43,10.17403871,10.7753244
CS17-G2FE-067,NILASQ4G51I07S3/LH123HT,5,255,1,70,69,96,73,43,9.648597043,10.21593455
CS17-G2FE-068,NILASQ4G51I08S3/LH123HT,5,257,1,71,68,97,79,54,9.611397633,10.09965663
CS17-G2FE-069,NILASQ4G51I11S2/LH123HT,5,259,1,71,70,98,79,44,10.61578171,11.22725074
CS17-G2FE-070,NILASQ4G51I10S2/LH123HT,5,261,1,70,67,100,77,47,11.00172559,11.65412792
CS17-G2FE-071,NILASQ4G41I11S2/LH123HT,5,263,1,70,67,97,78,46,9.997341514,10.59818174
CS17-G2FE-072,NILASQ4G41I09S2/LH123HT,5,265,1,70,69,98,81,51,10.8622278,11.51504769
CS17-G2FE-073,NILASQ4G41I02S3/LH123HT,5,267,1,69,69,98,76,47,11.07612441,11.72186247
CS17-G2FE-074,NILASQ4G41I07S2/LH123HT,5,269,1,67,69,97,77,43,11.42486888,12.08979625
