Barcode,Plot,Range,Row
CS17-G2FE-188,188,8,275
CS17-G2FE-189,189,8,273
CS17-G2FE-190,190,8,271
CS17-G2FE-191,191,8,269
CS17-G2FE-192,192,8,267
CS17-G2FE-193,193,8,265
CS17-G2FE-194,194,8,263
CS17-G2FE-195,195,8,261
CS17-G2FE-196,196,8,259
CS17-G2FE-197,197,8,257
CS17-G2FE-198,198,8,255
CS17-G2FE-199,199,9,255
CS17-G2FE-200,200,9,257
CS17-G2FE-201,201,9,259
CS17-G2FE-202,202,9,261
CS17-G2FE-203,203,9,263
CS17-G2FE-204,204,9,265
CS17-G2FE-205,205,9,267
CS17-G2FE-206,206,9,269
CS17-G2FE-207,207,9,271
CS17-G2FE-208,208,9,273
CS17-G2FE-209,209,9,275
CS17-G2FE-210,210,9,277
CS17-G2FE-211,211,9,279
CS17-G2FE-212,212,9,281
CS17-G2FE-213,213,9,283
CS17-G2FE-214,214,9,285
CS17-G2FE-215,215,9,287
CS17-G2FE-216,216,9,289
CS17-G2FE-217,217,9,291
CS17-G2FE-218,218,9,293
CS17-G2FE-219,219,9,295
CS17-G2FE-220,220,9,297
CS17-G2FE-221,221,9,299
CS17-G2FE-222,222,9,301
CS17-G2FE-223,223,9,303
CS17-G2FE-224,224,9,305
CS17-G2FE-225,225,9,307
CS17-G2FE-226,226,9,309
CS17-G2FE-227,227,9,311
CS17-G2FE-228,228,9,313
CS17-G2FE-229,229,9,315
CS17-G2FE-230,230,9,317
CS17-G2FE-231,231,9,319
CS17-G2FE-232,232,10,319
CS17-G2FE-233,233,10,317
CS17-G2FE-234,234,10,315
CS17-G2FE-235,235,10,313
CS17-G2FE-236,236,10,311
CS17-G2FE-237,237,10,309
CS17-G2FE-238,238,10,307
CS17-G2FE-239,239,10,305
CS17-G2FE-240,240,10,303
CS17-G2FE-241,241,10,301
CS17-G2FE-242,242,10,299
CS17-G2FE-243,243,10,297
CS17-G2FE-244,244,10,295
CS17-G2FE-245,245,10,293
CS17-G2FE-246,246,10,291
CS17-G2FE-247,247,10,289
CS17-G2FE-248,248,10,287
CS17-G2FE-249,249,10,285
CS17-G2FE-250,250,10,283
CS17-G2FE-251,251,10,281
CS17-G2FE-252,252,10,279
CS17-G2FE-253,253,10,277
CS17-G2FE-254,254,10,275
CS17-G2FE-255,255,10,273
CS17-G2FE-256,256,10,271
CS17-G2FE-257,257,10,269
CS17-G2FE-258,258,10,267
CS17-G2FE-259,259,10,265
CS17-G2FE-260,260,10,263
CS17-G2FE-261,261,10,261
CS17-G2FE-262,262,10,259
CS17-G2FE-263,263,10,257
CS17-G2FE-264,264,10,255
CS17-G2FE-265,265,11,255
CS17-G2FE-266,266,11,257
CS17-G2FE-267,267,11,259
CS17-G2FE-268,268,11,261
CS17-G2FE-269,269,11,263
CS17-G2FE-270,270,11,265
CS17-G2FE-271,271,11,267
CS17-G2FE-272,272,11,269
CS17-G2FE-273,273,11,271
CS17-G2FE-274,274,11,273
CS17-G2FE-275,275,11,275
CS17-G2FE-276,276,11,277
CS17-G2FE-277,277,11,279
CS17-G2FE-278,278,11,281
CS17-G2FE-279,279,11,283
CS17-G2FE-280,280,11,285
CS17-G2FE-281,281,11,287
CS17-G2FE-282,282,11,289
CS17-G2FE-283,283,11,291
CS17-G2FE-284,284,11,293
CS17-G2FE-285,285,11,295
CS17-G2FE-286,286,11,297
CS17-G2FE-287,287,11,299
CS17-G2FE-288,288,11,301
CS17-G2FE-289,289,11,303
CS17-G2FE-290,290,11,305
CS17-G2FE-291,291,11,307
CS17-G2FE-292,292,11,309
CS17-G2FE-293,293,11,311
CS17-G2FE-294,294,11,313
CS17-G2FE-295,295,11,315
CS17-G2FE-296,296,11,317
CS17-G2FE-297,297,11,319
CS17-G2FE-298,298,12,319
CS17-G2FE-299,299,12,317
CS17-G2FE-300,300,12,315
CS17-G2FE-301,301,12,313
CS17-G2FE-302,302,12,311
CS17-G2FE-303,303,12,309
CS17-G2FE-304,304,12,307
CS17-G2FE-305,305,12,305
CS17-G2FE-306,306,12,303
CS17-G2FE-307,307,12,301
CS17-G2FE-308,308,12,299
CS17-G2FE-309,309,12,297
CS17-G2FE-310,310,12,295
CS17-G2FE-311,311,12,293
CS17-G2FE-312,312,12,291
CS17-G2FE-313,313,12,289
CS17-G2FE-314,314,12,287
CS17-G2FE-315,315,12,285
CS17-G2FE-316,316,12,283
CS17-G2FE-317,317,12,281
CS17-G2FE-318,318,12,279
CS17-G2FE-319,319,12,277
CS17-G2FE-320,320,12,275
CS17-G2FE-321,321,12,273
CS17-G2FE-322,322,12,271
CS17-G2FE-323,323,12,269
CS17-G2FE-324,324,12,267
CS17-G2FE-325,325,12,265
CS17-G2FE-326,326,12,263
CS17-G2FE-327,327,12,261
CS17-G2FE-328,328,12,259
CS17-G2FE-329,329,12,257
CS17-G2FE-330,330,12,255
CS17-G2FE-331,331,13,255
CS17-G2FE-332,332,13,257
CS17-G2FE-333,333,13,259
CS17-G2FE-334,334,13,261
CS17-G2FE-335,335,13,263
CS17-G2FE-336,336,13,265
CS17-G2FE-337,337,13,267
CS17-G2FE-338,338,13,269
CS17-G2FE-339,339,13,271
CS17-G2FE-340,340,13,273
CS17-G2FE-341,341,13,275
CS17-G2FE-342,342,13,277
CS17-G2FE-343,343,13,279
CS17-G2FE-344,344,13,281
CS17-G2FE-345,345,13,283
CS17-G2FE-346,346,13,285
CS17-G2FE-347,347,13,287
CS17-G2FE-348,348,13,289
CS17-G2FE-349,349,13,291
CS17-G2FE-350,350,13,293
CS17-G2FE-351,351,13,295
CS17-G2FE-352,352,13,297
CS17-G2FE-353,353,13,299
CS17-G2FE-354,354,13,301
CS17-G2FE-355,355,13,303
CS17-G2FE-356,356,13,305
CS17-G2FE-357,357,13,307
CS17-G2FE-358,358,13,309
CS17-G2FE-359,359,13,311
CS17-G2FE-360,360,13,313
CS17-G2FE-361,361,13,315
CS17-G2FE-362,362,13,317
CS17-G2FE-363,363,13,319
CS17-G2FE-364,364,14,319
CS17-G2FE-365,365,14,317
CS17-G2FE-366,366,14,315
CS17-G2FE-367,367,14,313
CS17-G2FE-368,368,14,311
CS17-G2FE-369,369,14,309
CS17-G2FE-370,370,14,307
CS17-G2FE-371,371,14,305
CS17-G2FE-372,372,14,303
CS17-G2FE-373,373,14,301
CS17-G2FE-374,374,14,299
CS17-G2FE-375,375,14,297
CS17-G2FE-376,376,14,295
CS17-G2FE-377,377,14,293
CS17-G2FE-378,378,14,291
CS17-G2FE-379,379,14,289
CS17-G2FE-380,380,14,287
CS17-G2FE-381,381,14,285
CS17-G2FE-382,382,14,283
CS17-G2FE-383,383,14,281
CS17-G2FE-384,384,14,279
CS17-G2FE-385,385,14,277
CS17-G2FE-386,386,14,275
CS17-G2FE-387,387,14,273
CS17-G2FE-388,388,14,271
CS17-G2FE-389,389,14,269
CS17-G2FE-390,390,14,267
CS17-G2FE-391,391,14,265
CS17-G2FE-392,392,14,263
CS17-G2FE-393,393,14,261
CS17-G2FE-394,394,14,259
CS17-G2FE-395,395,14,257
CS17-G2FE-396,396,14,255
CS17-G2FE-397,397,15,255
CS17-G2FE-398,398,15,257
CS17-G2FE-399,399,15,259
CS17-G2FE-400,400,15,261
CS17-G2FE-401,401,15,263
CS17-G2FE-402,402,15,265
CS17-G2FE-403,403,15,267
CS17-G2FE-404,404,15,269
CS17-G2FE-405,405,15,271
CS17-G2FE-406,406,15,273
CS17-G2FE-407,407,15,275
CS17-G2FE-408,408,15,277
CS17-G2FE-409,409,15,279
CS17-G2FE-410,410,15,281
CS17-G2FE-411,411,15,283
CS17-G2FE-412,412,15,285
CS17-G2FE-413,413,15,287
CS17-G2FE-414,414,15,289
CS17-G2FE-415,415,15,291
CS17-G2FE-416,416,15,293
CS17-G2FE-417,417,15,295
CS17-G2FE-418,418,15,297
CS17-G2FE-419,419,15,299
CS17-G2FE-420,420,15,301
CS17-G2FE-421,421,15,303
CS17-G2FE-422,422,15,305
CS17-G2FE-423,423,15,307
CS17-G2FE-424,424,15,309
CS17-G2FE-425,425,15,311
CS17-G2FE-426,426,15,313
CS17-G2FE-427,427,15,315
CS17-G2FE-428,428,15,317
CS17-G2FE-429,429,15,319
CS17-G2FE-430,430,16,319
CS17-G2FE-431,431,16,317
CS17-G2FE-432,432,16,315
CS17-G2FE-433,433,16,313
CS17-G2FE-434,434,16,311
CS17-G2FE-435,435,16,309
CS17-G2FE-436,436,16,307
CS17-G2FE-437,437,16,305
CS17-G2FE-438,438,16,303
CS17-G2FE-439,439,16,301
CS17-G2FE-440,440,16,299
CS17-G2FE-441,441,16,297
CS17-G2FE-442,442,16,295
CS17-G2FE-443,443,16,293
CS17-G2FE-444,444,16,291
CS17-G2FE-445,445,16,289
CS17-G2FE-446,446,16,287
CS17-G2FE-447,447,16,285
CS17-G2FE-448,448,16,283
CS17-G2FE-449,449,16,281
CS17-G2FE-450,450,16,279
CS17-G2FE-451,451,16,277
CS17-G2FE-452,452,16,275
CS17-G2FE-453,453,16,273
CS17-G2FE-454,454,16,271
CS17-G2FE-455,455,16,269
CS17-G2FE-456,456,16,267
CS17-G2FE-457,457,16,265
CS17-G2FE-458,458,16,263
CS17-G2FE-459,459,16,261
CS17-G2FE-460,460,16,259
CS17-G2FE-461,461,16,257
CS17-G2FE-462,462,16,255
CS17-G2FE-463,463,17,255
CS17-G2FE-464,464,17,257
CS17-G2FE-465,465,17,259
CS17-G2FE-466,466,17,261
CS17-G2FE-467,467,17,263
CS17-G2FE-468,468,17,265
CS17-G2FE-469,469,17,267
CS17-G2FE-470,470,17,269
CS17-G2FE-471,471,17,271
CS17-G2FE-472,472,17,273
CS17-G2FE-473,473,17,275
CS17-G2FE-474,474,17,277
CS17-G2FE-475,475,17,279
CS17-G2FE-476,476,17,281
CS17-G2FE-477,477,17,283
CS17-G2FE-478,478,17,285
